城市名称,年份,流动电话用户数目,地区生产总值(亿元),进出口总额(亿美元),货物出口货值(亿美元),货物进口货值(亿美元),留宿旅客(万人),零售业销售额(亿元),城市人口(万人)
东莞,1999,,412.84,284.29,151.33,132.96,251.99,112.39,565.98
东莞,2000,,821.14,320.2351,171.4151,148.82,275.92,271.05,644.84
东莞,2001,264.33,991.89,344.52,189.88,154.64,301.61,275.71,654.43
东莞,2002,373.59,1186.94,442.41,237.33,205.08,244.97,321.24,654.84
东莞,2003,476.48,1452.52,520.12,279.08,241.04,705.41,369.78,655.25
东莞,2004,761.07,1806.03,645.12,351.91,293.21,712.86,426.47,655.66
东莞,2005,921.69,2189.46,743.6791453,409.2891453,334.39,735.33,608.38,656.07
东莞,2006,1078.95,2635.62,842.21,473.76,368.45,940.83,599.32,685.66
东莞,2007,1190.62,3169.26,1068.05,602.01,466.04,1184.8,722.45,717.02
东莞,2008,1245.36,3715.68,1134.24,656.42,477.82,1210.94,881.15,750.6
东莞,2009,1313.23,3816.83,941.37,551.67,389.7,1417.0272,959.07,786.08
东莞,2010,1421.77,4339.85,1215.657208,696.0294139,519.6277939,1550.844,1456.27,822.48
东莞,2011,1545.98,4887.26,1352.331543,783.2596843,569.0718583,1686.133,1266.31,876.68
东莞,2012,1797.75,5190.2,1445.17,850.53,594.64,1735.3915000000002,1354.58,924.45
东莞,2013,1850.39,5740.44,1530.7015,908.6068,622.0947,1795.2512,1786.66,962.52
东莞,2014,1763.09,6174.83,1624.9683,970.6675,654.3008,1758.5117,2309.97,995.73
东莞,2015,1756.75,6665.34,1675.427978,1036.0986785700002,639.3292994,1878.7593,2622.65,999.57
东莞,2016,1575.08,7260.92,1724.954751,990.1367726,734.8179779,2007.6669,2988.84,1016.58
东莞,2017,1827.36,8079.2,1811.03,1038.12,772.91,2161.48,3313.05,1038.22
东莞,2018,1958.2,8818.11,2033.48,1204.42,829.06,2186.46,3637.37,1043.77
东莞,2019,1716.02,9474.43,2006.1158,1255.07,751.0409,2301.64,4003.89,1045.5
东莞,2020,1552.33,9756.77007183408,1921.0062,1195.22,725.7893,1672.97,3740.14,1048.36
东莞,2021,1634.55,10931.6923477415,2354.7203,1475.1902,879.5301,1961.56,4239.24,1053.68
东莞,2022,1644.68,11375.6638945153,2101.4261,1397.0185,704.4076,1588.44,4254.87,1043.7
东莞,2023,1677.75,11438.13,1822.7459,1203.6363,619.1096,2513.35,4408.12,1048.53
东莞,2024,,12282.15,1949.03,1249.28,699.75,,4446.26,1057.08
中山,1999,,272.68,48.26,28.2,20.06,312.71,83.53,221.75
中山,2000,,345.44,60.89,36.77,24.12,372.43,156.97,236.47
中山,2001,89.42,404.38,71.47,43.57,27.9,396.57,158.76,238.3
中山,2002,128.8,469.73,93.41,57.24,36.17,332.75,178.41,240.13
中山,2003,159.17,572.05,131.28,82.53,48.75,386.61,201.5,241.98
中山,2004,227.12,704.3,156.36,100.06,56.3,430.09,234.61,242.73
中山,2005,250.34,894.59,187.5136341,122.5436341,64.97,470.4,311.11,243.46
中山,2006,267.14,1064.31,231.3,156.08,75.22,490.63,332.23,254.86
中山,2007,312.71,1283.88,246.63,172.97,73.66,510.28,397.74,268.68
中山,2008,347.69,1473.84,259.09000000000003,187.02,72.07,528.13,480.29,281.95
中山,2009,393.95,1556.11,244.7,177.36,67.34,551.9057,549.76,296.53
中山,2010,447.76,1808.48,311.125619,225.0409808,86.08463825,587.8746,700.88,312.27
中山,2011,488.62,2102.58,341.8519397,245.4607574,96.39118224,665.2747,756.07,335.2
中山,2012,547.5544,2306.52,335.22,246.44,88.78,800.2538,809.33,354.76
中山,2013,626.0223,2470.06,356.2254,264.7473,91.4781,861.4225,890.55,372.02
中山,2014,610.1849,2580.59,369.587,278.782,90.805,902.1531,1077,387.48
中山,2015,610.9603,2711.36,356.0100284,280.0651168,75.94491156000001,986.8655,1206.61,396.96
中山,2016,598.7883,2830.43,338.4843384,266.6087876,71.87555087999999,1117.8057,1342.61,407.69
中山,2017,605.71,2939.52,380.55,302.78,77.77,1333.52,1477.85,418.04
中山,2018,684.76,3053.73,355.09000000000003,273.22,81.87,1412.18,1560.4,428.82
中山,2019,683.61,3123.79,346.71849999999995,280.22,66.501,1496.27,1617.09,438.73
中山,2020,625.6,3189.14608978798,318.9914,262.0461,56.9452,817.69,1407.22,443.11
中山,2021,659.66,3578.88496225935,410.3932,338.6876,71.7056,782.61,1530.11,446.69
中山,2022,691.94,3632.21879069375,412.89,342.0296,70.8604,512.94,1593.42,443.11
